state,year,t_jan,t_feb,t_mar,t_apr,t_may,t_jun,t_jul,t_aug,t_sep,t_oct,t_nov,t_dec
IN,1997,23.1,34.7,42.3,46.9,56.2,69.2,73.8,69.8,64.8,53.6,38.6,33.0
IN,1998,34.8,39.4,41.3,52.4,66.4,71.1,73.6,73.7,69.6,55.7,44.9,36.4
IN,1999,27.0,36.4,36.7,53.6,63.6,72.0,77.9,71.2,65.6,53.7,47.8,33.0
IN,2000,26.7,36.7,45.4,50.4,64.2,70.4,71.8,72.0,64.4,57.2,40.3,19.2
IN,2001,26.9,33.5,37.2,56.5,64.0,69.1,73.7,73.8,63.6,53.7,49.0,36.9
IN,2002,34.1,35.2,38.3,53.5,58.4,72.9,77.0,74.8,69.2,52.4,39.9,31.7
IN,2003,21.6,25.7,42.1,53.2,60.5,67.1,73.0,73.8,63.4,52.9,46.0,33.5
IN,2004,24.5,29.9,44.3,53.3,65.9,69.5,72.0,68.6,67.1,54.8,45.9,30.8
IN,2005,29.9,34.8,37.3,54.0,59.2,73.4,75.0,74.9,69.2,55.2,44.6,26.7
IN,2006,39.1,31.7,40.7,55.7,60.1,69.8,75.4,73.6,62.5,51.1,44.1,37.3
IN,2007,32.2,20.2,47.0,49.4,66.2,72.1,71.9,76.8,69.0,60.2,41.9,32.5
IN,2008,27.7,28.2,38.6,52.3,58.1,72.2,73.3,71.2,67.6,53.7,40.5,29.1
IN,2009,21.3,32.2,44.2,51.5,62.0,71.6,69.2,70.7,65.5,50.5,46.3,30.4
IN,2010,23.9,25.7,43.6,57.3,64.3,74.1,76.4,75.6,67.2,56.0,42.8,24.3
IN,2011,23.7,31.2,41.7,53.0,62.1,72.2,78.8,73.1,63.6,53.9,46.9,36.6
IN,2012,32.4,35.4,55.0,52.9,67.7,71.6,80.2,71.9,64.2,52.1,40.0,38.2
IN,2013,29.9,30.2,34.8,50.8,64.4,70.8,72.3,71.5,66.9,54.3,39.2,29.4
IN,2014,19.4,22.0,34.1,52.4,62.9,72.6,69.1,72.4,64.0,53.8,35.6,34.6
IN,2015,25.3,19.3,37.2,52.9,65.0,71.0,72.9,70.6,68.8,55.6,46.6,42.5
IN,2016,27.5,33.9,47.3,52.0,60.6,72.9,74.6,75.7,69.9,59.5,47.0,29.8
IN,2017,33.8,41.3,42.6,57.0,60.9,71.1,74.2,70.0,67.2,57.6,42.4,29.6
IN,2018,24.5,35.1,38.2,45.1,69.7,73.4,74.1,74.0,69.9,54.9,36.8,35.4
IN,2019,27.0,32.3,37.2,52.2,62.6,69.9,76.3,72.3,70.8,55.5,36.5,36.2
IN,2020,34.3,32.8,44.6,48.9,59.7,72.1,76.5,72.0,65.2,53.1,46.7,33.6
IN,2021,30.5,23.7,45.8,51.9,59.6,72.7,73.7,75.0,68.4,60.2,40.0,40.5
IN,2022,24.3,29.8,43.7,49.3,64.9,72.1,75.3,73.0,66.1,52.8,43.1,31.7
IN,2023,36.4,38.3,40.9,52.7,62.0,69.2,74.2,71.8,67.1,56.4,43.0,39.9
IN,2024,27.7,39.6,46.3,54.8,66.6,72.8,73.1,73.1,68.4,57.7,47.3,34.6
