state_code,division,year,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12
1,0,1973,73.0,5.9,3.99,11.78,6.87,6.69,5.56,5.45,3.62,3.77,1.89,4.95
1,0,1974,74.0,8.2,5.21,3.92,5.9,5.08,4.07,4.39,6.0,6.52,1.27,3.94
1,0,1975,75.0,6.65,7.17,8.63,6.77,5.24,5.25,8.22,5.56,6.72,6.55,3.27
1,0,1976,76.0,4.46,2.63,10.45,1.68,8.08,4.36,4.52,3.33,3.74,3.66,4.41
1,0,1977,77.0,4.95,3.56,9.86,4.32,2.13,2.63,5.09,4.27,7.02,4.51,6.31
1,0,1978,78.0,7.09,1.9,3.99,3.83,8.2,5.06,4.3,4.07,2.0,0.46,3.3
1,0,1979,79.0,7.68,6.61,6.64,10.89,4.37,2.63,7.56,4.19,7.43,1.56,5.8
1,0,1980,80.0,5.5,2.45,13.81,7.65,7.07,3.26,2.96,2.51,5.18,3.77,3.17
1,0,1981,81.0,1.33,6.64,5.71,2.95,3.87,3.46,3.85,4.78,2.07,3.11,1.75
1,0,1982,82.0,6.5,7.67,2.95,7.57,2.96,5.01,6.08,3.77,2.03,2.68,5.62
1,0,1983,83.0,4.34,7.76,7.73,9.44,6.37,5.94,1.98,3.07,4.61,2.44,7.47
1,0,1984,84.0,4.05,4.03,4.96,5.42,5.88,2.31,5.76,5.61,0.62,5.22,3.9
1,0,1985,85.0,3.9,6.43,2.49,2.93,4.11,3.87,7.17,4.79,3.15,6.0,2.91
1,0,1986,86.0,2.13,3.76,4.48,0.72,4.97,2.68,3.89,4.42,3.83,4.3,8.86
1,0,1987,87.0,6.09,7.27,4.97,0.92,4.44,5.89,3.29,3.71,2.94,0.59,4.04
1,0,1988,88.0,5.38,3.91,4.06,3.99,1.73,1.23,6.66,3.42,9.15,3.19,5.41
1,0,1989,89.0,4.49,4.31,6.51,4.43,4.54,10.94,7.76,2.44,4.8,3.03,6.06
1,0,1990,90.0,8.44,8.57,8.96,3.39,4.95,2.93,3.75,1.92,1.9,2.66,2.94
1,0,1991,91.0,7.33,5.22,7.05,6.85,9.57,4.95,4.46,3.93,3.27,0.91,4.37
1,0,1992,92.0,6.12,5.99,4.03,2.91,1.95,5.44,6.07,5.87,3.61,2.59,9.48
1,0,1993,93.0,6.21,3.72,6.59,3.26,3.8,3.39,2.88,4.72,3.83,3.71,3.88
1,0,1994,94.0,5.31,5.08,7.25,4.4,3.2,7.0,9.43,2.91,3.61,4.97,3.5
1,0,1995,95.0,4.83,5.65,5.42,5.07,3.32,3.36,3.87,4.79,3.09,9.3,5.8
1,0,1996,96.0,7.4,4.07,8.45,4.65,2.56,3.38,6.63,4.7,5.71,2.38,3.46
1,0,1997,97.0,6.47,6.16,3.87,6.03,5.39,7.91,5.33,2.88,3.3,5.1,5.7
1,0,1998,98.0,8.14,7.29,6.2,5.39,2.28,3.22,6.07,3.44,8.29,1.37,3.3
1,0,1999,99.0,7.94,2.55,5.65,2.57,4.11,8.31,4.63,2.02,1.91,3.39,2.61
1,0,2000,0.0,4.69,1.99,5.05,4.83,1.32,3.71,2.26,2.36,3.49,0.8,7.7
1,0,2001,1.0,4.69,4.11,10.11,3.88,4.03,7.15,3.95,5.48,4.8,3.27,3.43
1,0,2002,2.0,5.11,2.99,5.79,2.19,4.09,3.77,5.38,3.24,7.57,5.58,4.88
1,0,2003,3.0,2.33,6.76,4.67,6.41,8.49,8.17,7.74,5.7,3.7,1.61,4.67
1,0,2004,4.0,3.27,7.06,2.28,3.37,4.0,7.53,4.43,4.48,6.63,3.87,8.12
1,0,2005,5.0,2.86,4.96,5.85,7.6,2.8,6.37,9.19,6.01,3.29,0.61,3.59
1,0,2006,6.0,5.23,5.05,2.97,3.07,4.41,2.01,3.33,3.91,3.53,5.13,4.84
1,0,2007,7.0,4.34,2.64,1.56,3.91,0.73,2.78,5.2,2.67,3.11,3.92,2.75
1,0,2008,8.0,4.09,5.79,4.01,4.53,4.43,2.69,4.04,8.89,1.65,3.02,3.15
1,0,2009,9.0,4.42,3.85,8.98,4.45,8.51,2.71,5.59,5.49,7.57,7.18,4.39
1,0,2010,10.0,6.21,4.22,5.07,2.82,6.15,3.26,3.5,4.83,1.61,2.59,4.73
1,0,2011,11.0,4.03,3.49,8.18,5.08,1.64,3.55,5.52,2.05,7.21,0.79,4.13
1,0,2012,12.0,5.44,4.49,5.35,1.89,4.16,4.0,5.75,6.07,5.35,2.91,1.36
1,0,2013,13.0,6.27,8.86,3.83,5.71,4.0,5.81,8.7,5.5,3.2,1.47,3.42
1,0,2014,14.0,2.7,5.75,5.57,9.67,4.27,5.23,3.36,3.25,2.51,4.38,2.98
1,0,2015,15.0,4.34,4.05,4.28,7.14,4.32,3.27,4.71,4.94,2.71,2.93,6.8
1,0,2016,16.0,4.06,5.85,5.42,5.68,2.14,3.81,4.27,4.58,1.72,0.13,2.3
1,0,2017,17.0,9.17,3.7,4.17,4.09,7.01,10.7,5.06,6.07,3.25,6.03,1.05
1,0,2018,18.0,2.32,7.27,4.14,5.94,5.52,4.58,4.46,5.03,6.21,2.69,6.29
1,0,2019,19.0,6.01,6.21,3.4,6.24,3.59,4.47,4.02,4.99,0.41,7.12,3.24
1,0,2020,20.0,7.44,10.37,6.18,7.1,3.64,5.16,5.3,5.78,6.0,5.11,2.75
1,0,2021,21.0,3.72,4.22,8.05,5.55,4.69,8.73,7.49,7.43,4.83,4.6,1.19
1,0,2022,22.0,4.83,5.66,7.15,5.56,5.0,3.3,5.71,6.41,2.23,2.71,4.83
1,0,2023,23.0,6.94,4.4,5.39,5.42,3.7,5.66,5.61,4.0,2.07,1.45,2.77
1,0,2024,24.0,7.59,4.21,6.86,3.98,6.19,3.48,6.81,1.38,6.64,0.24,3.9
1,0,2025,25.0,3.23,4.45,5.19,5.61,9.85,6.86,3.1,3.67,-9.99,-9.99,-9.99
2,0,1895,95.0,2.78,0.53,0.22,0.08,0.36,0.09,1.0,2.18,0.81,0.96,2.11
2,0,1896,96.0,0.52,0.22,0.66,0.26,0.12,0.15,3.03,2.19,1.37,2.62,0.49
2,0,1897,97.0,2.86,1.0,0.77,0.13,0.25,0.07,1.1,1.61,2.35,0.86,0.11
2,0,1898,98.0,1.79,0.15,0.71,0.58,0.46,0.69,1.79,2.1,0.2,0.01,0.49
2,0,1899,99.0,0.8,0.42,0.2,0.22,0.02,0.65,1.65,1.49,0.73,0.67,0.56
2,0,1900,0.0,0.2,0.25,0.66,1.74,0.2,0.08,0.65,1.05,1.22,0.7,1.33
2,0,1901,1.0,1.21,2.36,0.53,0.14,0.45,0.06,1.43,1.69,0.22,0.78,0.26
2,0,1902,2.0,0.8,0.37,0.65,0.07,0.36,0.08,0.63,1.77,0.84,0.08,1.63
2,0,1903,3.0,0.18,1.0,1.06,0.4,0.27,0.68,1.16,1.46,1.73,0.14,0.0
2,0,1904,4.0,0.18,0.49,0.35,0.03,0.44,0.08,2.03,3.5,0.57,0.47,0.01
2,0,1905,5.0,2.71,4.44,3.47,2.07,0.39,0.28,0.98,1.41,1.93,0.19,3.77
2,0,1906,6.0,0.81,1.2,2.1,0.8,0.16,0.01,2.06,3.06,0.51,0.1,1.62
2,0,1907,7.0,2.35,0.76,1.07,0.59,0.74,0.23,1.63,2.69,0.56,2.3,0.71
2,0,1908,8.0,1.03,2.47,0.76,0.69,0.36,0.08,2.77,2.48,1.04,0.69,0.42
2,0,1909,9.0,1.03,1.34,1.32,0.19,0.05,0.12,2.15,4.03,1.25,0.01,0.87
2,0,1910,10.0,1.28,0.13,0.62,0.4,0.03,0.37,1.88,1.77,0.44,0.46,1.93
2,0,1911,11.0,2.05,1.75,1.13,0.27,0.02,0.59,3.31,1.37,2.31,1.89,0.02
2,0,1912,12.0,0.02,0.19,3.0,1.07,0.24,0.49,2.9,1.93,0.19,2.04,0.06
2,0,1913,13.0,0.65,2.44,0.32,0.34,0.03,0.11,1.75,1.72,0.92,0.39,1.84
2,0,1914,14.0,1.18,1.12,0.61,0.34,0.34,0.65,3.08,1.74,0.65,2.16,0.75
2,0,1915,15.0,2.47,1.97,0.75,1.58,0.48,0.33,2.53,1.19,0.66,0.09,0.87
2,0,1916,16.0,4.2,0.55,1.3,0.44,0.21,0.0,2.26,2.14,1.53,1.92,0.01
2,0,1917,17.0,2.32,0.85,0.14,1.44,0.88,0.02,2.99,1.28,1.12,0.04,0.02
2,0,1918,18.0,1.66,1.02,1.66,0.15,0.09,0.73,1.95,2.13,0.49,0.64,1.27
2,0,1919,19.0,0.42,1.41,0.91,0.61,0.62,0.18,4.37,1.78,2.25,0.88,2.47
2,0,1920,20.0,1.97,2.71,1.47,0.29,0.44,0.53,0.95,1.86,0.83,1.39,0.18
2,0,1921,21.0,0.89,0.33,0.47,0.33,0.41,0.33,3.66,3.38,0.65,1.05,0.29
2,0,1922,22.0,1.78,0.58,1.21,0.61,0.36,0.48,1.73,2.48,0.86,0.32,1.19
2,0,1923,23.0,0.72,0.87,0.88,0.56,0.22,0.01,2.32,2.82,1.7,0.4,2.1
2,0,1924,24.0,0.11,0.05,1.54,0.67,0.11,0.09,1.62,0.65,0.9,0.49,0.16
2,0,1925,25.0,0.15,0.29,0.93,0.85,0.18,0.83,1.67,2.03,1.77,1.99,0.69
2,0,1926,26.0,0.53,0.59,1.75,2.35,0.65,0.14,1.56,1.09,2.14,0.53,0.29
2,0,1927,27.0,0.32,2.45,1.15,0.54,0.11,0.85,1.55,2.45,2.43,0.64,0.4
2,0,1928,28.0,0.19,1.71,0.36,0.29,0.62,0.02,1.31,1.64,0.36,1.15,0.69
2,0,1929,29.0,0.81,0.7,0.38,0.64,0.17,0.05,2.61,2.57,1.85,0.38,0.13
2,0,1930,30.0,1.79,0.39,1.86,0.49,0.81,0.37,2.57,2.02,0.98,0.38,1.62
2,0,1931,31.0,0.47,3.27,0.31,1.21,0.38,0.61,1.93,3.41,1.27,0.69,2.45
2,0,1932,32.0,0.77,2.63,0.34,0.45,0.32,0.35,2.27,1.76,0.62,1.07,0.0
2,0,1933,33.0,1.8,0.61,0.02,0.75,0.24,0.4,1.82,1.48,1.46,1.25,0.97
2,0,1934,34.0,0.39,0.76,0.24,0.67,0.64,0.21,1.03,2.85,0.53,0.11,0.9
2,0,1935,35.0,1.92,2.07,1.33,0.47,0.6,0.07,1.24,3.37,1.41,0.04,1.03
2,0,1936,36.0,0.69,1.65,0.87,0.15,0.16,0.21,2.19,2.04,1.31,0.89,0.71
2,0,1937,37.0,1.54,1.34,1.73,0.14,0.3,0.44,1.61,1.49,1.57,0.34,0.07
2,0,1938,38.0,0.69,1.59,2.12,0.2,0.27,0.74,1.17,1.97,0.73,0.14,0.1
2,0,1939,39.0,1.11,1.08,0.72,0.6,0.07,0.03,1.03,1.91,2.97,0.4,1.18
2,0,1940,40.0,0.79,1.72,0.24,0.78,0.32,0.61,0.77,2.02,2.73,1.49,1.15
2,0,1941,41.0,1.74,2.11,2.86,2.09,0.72,0.27,1.57,2.14,1.87,1.61,0.93
2,0,1942,42.0,0.54,0.98,0.46,1.12,0.01,0.01,1.26,1.75,0.65,0.9,0.12
2,0,1943,43.0,1.59,0.51,1.33,0.42,0.12,0.28,0.73,2.71,1.56,0.75,0.06
