state,year,acres_harvested,harvest_ha
IL,2022,65050000,26324801.027712
IL,2023,61100000,24726292.740863997
IL,2024,64400000,26061755.360255998
IL,2025,41100000,16632579.896063998
IN,1988,4200000,1699679.697408
IN,1989,4550000,1841319.6721919999
IN,1990,4180000,1691585.9845631998
IN,1991,4400000,1780616.825856
IN,1992,4520000,1829179.1029247998
IN,1993,4850000,1962725.364864
IN,1994,4580000,1853460.2414592
IN,1995,4980000,2015334.4983551998
IN,1996,5360000,2169115.0424063997
IN,1997,5300000,2144833.903872
IN,1998,5500000,2225771.0323199998
IN,1999,5550000,2246005.314432
IN,2000,5480000,2217677.3194752
IN,2001,5590000,2262192.7401215998
IN,2002,5770000,2335036.1557247997
IN,2003,5370000,2173161.8988288
IN,2004,5520000,2233864.7451648
IN,2005,5380000,2177208.7552512
IN,2006,5680000,2298614.4479231997
IN,2007,4790000,1938444.2263296
IN,2008,5430000,2197443.0373632
IN,2009,5440000,2201489.8937856
IN,2010,5330000,2156974.4731392
IN,2011,5290000,2140787.0474496
IN,2012,30370000,12290302.954828799
IN,2013,20830000,8429601.9278592
IN,2014,32890000,13310110.773273598
IN,2015,33730000,13650046.7127552
IN,2016,34030000,13771452.405427199
IN,2017,35490000,14362293.443097599
IN,2018,36360000,14714369.951846398
IN,2019,32120000,12998502.8287488
IN,2020,34130000,13811920.9696512
IN,2021,34090000,13795733.5439616
IN,2022,34980000,14155903.7655552
IN,2023,32880000,13306063.916851198
IN,2024,34630000,14014263.7907712
IN,2025,21720000,8789772.1494528
MN,1988,4800000,1942491.0827519998
MN,1989,5000000,2023428.2111999998
MN,1990,4600000,1861553.954304
MN,1991,5350000,2165068.185984
MN,1992,5400000,2185302.4680959997
MN,1993,5000000,2023428.2111999998
MN,1994,5600000,2266239.596544
MN,1995,5800000,2347176.724992
MN,1996,5900000,2387645.2892159997
MN,1997,6550000,2650690.956672
MN,1998,6800000,2751862.367232
MN,1999,6900000,2792330.9314559996
MN,2000,7150000,2893502.342016
MN,2001,7200000,2913736.624128
MN,2002,7100000,2873268.059904
MN,2003,7450000,3014908.0346879996
MN,2004,7050000,2853033.7777919997
MN,2005,6800000,2751862.367232
MN,2006,7250000,2933970.90624
MN,2007,6290000,2545472.6896896
MN,2008,6970000,2820658.9264128
MN,2009,7120000,2881361.7727488
MN,2010,7310000,2958252.0447743996
MN,2011,7040000,2848986.9213695996
MN,2012,41700000,16875391.281408
MN,2013,26510000,10728216.375782399
MN,2014,44070000,17834496.2535168
MN,2015,45570000,18441524.716876797
MN,2016,45840000,18550789.8402816
MN,2017,48740000,19724378.202777598
MN,2018,46290000,18732898.379289597
MN,2019,40880000,16543549.0547712
MN,2020,44030000,17818308.8278272
MN,2021,45730000,18506274.4196352
MN,2022,44390000,17963995.6590336
MN,2023,43980000,17798074.545715198
MN,2024,44170000,17874964.817740798
MN,2025,28020000,11339291.695564799
MO,1988,8460000,3423640.5333503997
MO,1989,8700000,3520765.087488
MO,1990,8300000,3358890.830592
MO,1991,8860000,3585514.7902463996
MO,1992,8500000,3439827.9590399996
MO,1993,7200000,2913736.624128
MO,1994,9120000,3690733.0572288
MO,1995,9000000,3642170.7801599996
MO,1996,8100000,3277953.7021439997
MO,1997,9700000,3925450.729728
MO,1998,10000000,4046856.4223999996
MO,1999,10700000,4330136.371968
MO,2000,10000000,4046856.4223999996
MO,2001,9800000,3965919.293952
MO,2002,10000000,4046856.4223999996
MO,2003,9900000,4006387.858176
MO,2004,9920000,4014481.5710207997
MO,2005,9820000,3974013.0067967996
MO,2006,10220000,4135887.2636928
MO,2007,9340000,3779763.8985216
